row,col,snr_db,kmeans_shift,time_kmeans,fhmm_shift,fhmm_taue,fhmm_tauc,fhmm_ndef,time_fhmm
27,9,8.102606146425574,[0.00018968 0.00017712 0.0003668 ],5.2739434242248535,[0.00010777 0.00016681],[4.68357134e+01 1.06812600e+29],[ 30.4080137  584.45219235],2,34.04272699356079
27,10,8.905488307891016,[0.00058065 0.00029726],6.080139636993408,[0.000147 0.000124],[17.21682637 15.12412423],[18.17501266 11.61936838],2,17.987340927124023
27,11,10.51296617839768,"[9.04599801e-05 2.12551400e-04 1.94543172e-04 1.04083185e-04
 1.21944300e-04 3.16634600e-04 2.26027478e-04]",10.447640180587769,[0.00010558 0.00010975 0.00011873],[ 41.74143834 302.46193471  54.17070375],[69.22762431 73.9077127  72.44263585],3,44.64598894119263
27,12,9.630178137941524,[0.00016096],3.2027413845062256,[0.00012602],[56.01911956],[35.67977155],1,6.353047132492065
27,13,17.150595568589868,"[1.2508154e-04 1.0680871e-04 9.4904193e-05 2.0171290e-04 2.1998573e-04
 1.4130260e-04 4.6809705e-04 3.4301550e-04 2.4811132e-04 8.7757997e-04
 9.7248412e-04 7.7077124e-04 6.2946865e-04]",11.416815996170044,[0.00088272 0.00011717 0.00017632],[1.74603898e+00 1.44372473e+02 1.02376052e+13],[246.43622225 222.53445727  68.33443216],3,50.538127183914185
27,14,7.631126080442777,[0.00027976 0.00015212 0.00043188],6.531825304031372,[0.00019642 0.00010415],[315.63852627  53.76519953],[ 14.02458071 144.94631516],2,60.42117500305176
27,16,11.561538534481661,[0.00067006],3.2330613136291504,[0.00069538],[160.97313479],[3.6677163e+58],1,7.737423419952393
27,17,5.9609005659991805,[0.00041967 0.00065545 0.00107512],7.305577516555786,[0.00051103 0.00018717],[785.48752735 689.37877493],[203.73532455 139.18318686],2,30.98971652984619
27,18,9.684829908851349,[0.00014949],3.703070878982544,[0.0001034],[56.39184122],[47.88921387],1,8.053887605667114
27,19,6.5999937171601015,[0.00065633 0.00020278 0.00085911],4.624664068222046,[0.00022703 0.00040953],[211.28869707 118.83420861],[64.60538946  8.19107907],2,17.97701144218445
27,20,19.366261805981104,[0.00645381],3.6411848068237305,[0.00010199],[16.96852998],[6.92424039],1,3.4230124950408936
27,21,8.297521505514691,[0.0001875],2.1580965518951416,[0.00016138],[115.46681033],[70.22300785],1,3.6007673740386963
27,22,-1.7965971305454418,[0.00536423],2.853923797607422,[0.00088562],[320009.57952561],[22.30591434],1,3.531661033630371
27,23,4.727169858678925,[0.00017975 0.00319795],4.706185579299927,[0.00045242 0.00327448],[ 7.87212083 72.80158315],[6109.64395316  140.90579754],2,32.75515604019165
27,24,11.392735559649852,[0.00017961 0.00038971 0.0002101 ],3.990938901901245,[0.00015075 0.00017715],[34.84396062 36.12026832],[24.26773402 87.27453194],2,14.625095844268799
27,26,11.03679465351928,[0.00159651],2.1782379150390625,[0.00150497],[2.61812525],[21.11608147],1,12.710655689239502
27,27,23.14721734276037,[0.00018807 0.00016469 0.00035275 0.00213614 0.00230083],4.787959098815918,[0.00012572 0.00021451],[ 37.36804479 244.9838811 ],[47.72446659 44.42005837],2,23.516353130340576
27,28,9.478711606221415,[0.00015692 0.00033752 0.0001806 ],3.5072824954986572,[0.00013634 0.00012501],[  16.52958532 1520.39648726],[33.31874862 75.42872075],2,20.081676483154297
27,29,22.680675084319684,[0.00426581],3.142793655395508,[0.00017691],[3853783.48079935],[190.92615095],1,5.561569929122925
27,30,11.58449947846261,[0.00018508],3.4717459678649902,[0.00014811],[365.17404599],[149.88315927],1,3.3975298404693604
27,31,3.783451621780711,[0.00667446 0.00287537 0.00954983],6.41149640083313,[0.00929554 0.00264676],[4.33426666e+01 6.39360845e+05],[ 25.04591232 815.56465908],2,19.881940364837646
27,32,9.820550847168533,[0.00025096],2.244462728500366,[0.0001345],[92.74501911],[36.29340932],1,11.60565710067749
28,1,5.034168947418291,[0.00116976],2.6716928482055664,[0.00025674],[15.34463217],[6.68087759],1,7.947870492935181
28,2,13.421072639005502,[0.00018791],2.486476182937622,[0.00014625],[9.6085206],[33.97410944],1,7.9803290367126465
28,3,17.687691841552837,[0.00039825 0.00161166 0.00200991],3.052311897277832,[0.00032723 0.000102  ],[4.40260866e+28 2.30209511e+06],[583.8230777  643.60267662],2,18.565534114837646
28,4,13.183453869001706,[0.00022412],2.4499311447143555,[0.00021173],[44.35044149],[166.31108627],1,1.6339023113250732
28,5,11.499650785960904,[0.00026636 0.00013105],3.0004918575286865,[0.0001114  0.00014585],[4.18950982e+01 1.00710274e+08],[54.10973728 71.13518628],2,19.959891080856323
28,6,1.412942792230927,[0.00201688 0.00015982 0.0021767 ],3.6946442127227783,[0.00199108 0.00043076],[  28.76682786 2226.82145243],[16.25994949  3.98065069],2,15.418065547943115
28,7,22.600602176450618,[0.00015951 0.0003485  0.00018899 0.0019217  0.00208121],8.974767446517944,[0.00019225 0.00013401],[100.00141361  94.9412603 ],[182.94232513  67.52822772],2,38.75465655326843
28,8,7.322760188920738,[0.00045631],1.6885616779327393,[0.00044601],[145.50326233],[278.17573208],1,9.442521333694458
28,9,4.356570314390548,[0.00297127],1.7471718788146973,[0.00285035],[28.21198299],[21.62299679],1,5.349020481109619
28,10,24.21952656746321,[0.00341375],2.371734857559204,[0.00341381],[3.],[995.],1,5.8932788372039795
28,11,10.907801003091734,[0.00022704],3.513967514038086,[0.0001569],[18.36461341],[52.65168174],1,4.723138093948364
28,12,11.701488893490698,[0.00017364],3.2200927734375,[0.00011398],[63.58923996],[50.58861747],1,6.55480432510376
28,13,13.657586598993571,[0.00017844],3.634726047515869,[0.00016399],[328.17054125],[88.6387017],1,6.637186765670776
28,14,8.998441619964039,[0.00023165 0.00044863 0.00021699],5.988300561904907,[0.00018    0.00022898],[715.16386099  16.05058643],[166.31961258  35.35531874],2,13.148265838623047
28,15,9.30996344175184,[0.00022437],3.6361963748931885,[0.00025276],[112616.93683903],[138.46613724],1,2.6281867027282715
28,16,8.986690691321495,[0.00022731 0.00199391 0.00222122],4.048733472824097,[0.00095244 0.00034821],[63.39714445 65.13868674],[429.43537098 393.81335751],2,12.632232189178467
28,17,9.531800717071716,[0.00015583 0.000134   0.00028983],4.0145649909973145,[0.0002074  0.00012777],[229.93903264  42.24825962],[74.13976887 90.44304706],2,17.392714500427246
28,18,7.818611356930333,[0.00099831 0.00416917 0.00200919 0.00518005 0.00617837],6.637270450592041,[0.00047096 0.00422281],[ 16.32825926 111.14167243],[2117.3855204  165.6055704],2,9.345592975616455
28,19,10.495634724767699,[0.00017288],3.4260876178741455,[0.00013518],[61.061436],[50.87106354],1,4.093813896179199
28,20,11.280957111626718,[0.00014785 0.00029362],4.0846710205078125,[0.00015712 0.0001444 ],[8.70418678e+04 1.83181659e+01],[102.9164797  131.20548661],2,28.551164627075195
28,21,8.821244628766019,[0.00018299],2.497544527053833,[0.00012188],[221.62245502],[77.58346903],1,6.476144313812256
28,22,9.668643582631205,[0.00017548],2.5348219871520996,[0.00014371],[326.14132723],[70.40893129],1,10.257075309753418
28,23,9.094682046384733,[0.00016532 0.00015305 0.00031837],3.5265352725982666,[0.00011532 0.00013888],[90.25993141 81.20275569],[ 26.39176598 629.23487264],2,21.08754277229309
28,24,23.36333730166257,"[1.0914441e-04 2.0786317e-04 1.1282859e-03 1.0295671e-03 9.8718760e-05
 8.0689642e-05 9.2755545e-05 2.8855281e-04 1.2374303e-03 1.7344518e-04
 2.2417069e-03 3.4081074e-04 4.2150039e-04 2.4805521e-04 9.4887748e-04
 8.5612194e-04]",12.440798282623291,[0.00016171 0.00029688 0.00010118],[5.74164724e+02 3.34621472e+00 6.91700452e+04],[180.14548194 121.16796198  26.369388  ],3,130.9353382587433
28,25,9.310656620943776,[0.00026973 0.0001292  0.00014053],4.1572253704071045,[0.00012043 0.00010893],[79.86124554 79.36395221],[40.53115074 32.59588016],2,15.46841287612915
28,26,19.12354637478228,[0.00018841],4.70095157623291,[0.00018186],[382.47738124],[58.28436044],1,4.950153827667236
28,27,21.322887683812304,[0.00020866 0.00194841 0.00173975 0.00015069 0.00035935 0.00158906],5.935924530029297,[0.00025948 0.00010258],[785.23626689 175.86148293],[99.64343058 55.14159095],2,28.737560749053955
28,28,10.326305827998532,[0.00026492 0.0002443  0.00050922],4.544896602630615,[0.00025901 0.00014183],[7.93344960e+17 3.89360183e+01],[304.21130826  56.9849872 ],2,13.740882396697998
