row,col,snr_db,kmeans_shift,time_kmeans,fhmm_shift,fhmm_taue,fhmm_tauc,fhmm_ndef,time_fhmm,kmeans_shift_original,kmeans_n_original,fhmm_n,kmeans_n_matched
14,29,12.855148143180696,[1.90560000e-04],3.5994873046875,[0.00014222],[64.35977647],[42.97692724],1,10.958690404891968,[0.00019056],1,1,1
14,30,20.435818438471923,[4.96210000e-04 5.01040000e-03],3.944739580154419,[0.00046562 0.00491405],[241.09820573   1.33250354],[725.37205018 109.28034175],2,19.992361545562744,[0.00049621 0.00185728 0.00451419 0.0050104  0.00235349],5,2,2
14,31,6.214148218795193,[5.63470000e-04 1.10912000e-03],5.5351738929748535,[0.00011812 0.00012789],[12.45361385 16.72302658],[10.69680512  7.76531526],2,20.70820713043213,[0.00056347 0.00110912],2,2,2
14,32,15.815449449987703,[1.97370000e-04],2.17606258392334,[0.0001244],[88.54451019],[35.34526907],1,9.77248764038086,[0.00019737],1,1,1
15,1,10.01735778546074,[5.61540000e-04],2.54106879234314,[0.00040809],[64.61136889],[462.18609357],1,3.6651089191436768,[0.00056154],1,1,1
15,2,8.65095172789224,[7.68250000e-04],2.061424493789673,[0.00016743],[14.40953261],[13.77412237],1,28.68361210823059,[0.00076825],1,1,1
15,3,9.16990895728938,[1.76660000e-04 2.09410000e-04],7.887679815292358,[0.00014022 0.00010268],[32.84748293 32.97621802],[45.10805675 18.22785113],2,18.028175115585327,[0.00017666 0.00038606 0.00020941],3,2,2
15,4,12.87709211866122,[4.72160000e-04],3.1565937995910645,[0.00017676],[52.40705244],[50.69690226],1,6.772249937057495,[0.00047216],1,1,1
15,5,16.220111340375933,[1.71440000e-04],2.6882710456848145,[0.00011909],[28.80292432],[54.71073283],1,9.707909345626833,[0.00017144],1,1,1
15,6,13.923054616911744,[4.81365000e-03],2.325859546661377,[0.00017916],[30.41610658],[3.97499911],1,6.653296709060669,[0.00481365],1,1,1
15,7,8.046767758150153,[2.17860000e-04],2.992629051208496,[0.00013523],[77.96657223],[43.90503221],1,8.150970458984375,[0.00021786],1,1,1
15,8,-0.4676058238544961,[1.95610000e-04 4.93067000e-03],5.65589451789856,[0.00039499 0.00453246],[93044.21837441   990.        ],[8.51318784 4.        ],2,26.0901460647583,[0.00019561 0.00493067],2,2,2
15,9,10.994821320824226,[2.32350000e-04],3.7698960304260254,[0.00021123],[53.41321818],[19.06676645],1,5.576871633529663,[0.00023235],1,1,1
15,10,9.711679692016506,[6.95010000e-04],3.282440185546875,[0.00066],[9.49446953],[49.3204156],1,6.57724404335022,[0.00069501],1,1,1
15,11,21.13551588142731,[1.52210000e-04 3.21570000e-04],4.802293300628662,[0.00013416 0.00024513],[81.24016328 31.09284256],[ 42.25555387 136.86807543],2,13.075868844985962,[0.00015221 0.00016936 0.00032157 0.00162069 0.00146848],5,2,2
15,12,11.695666988328172,[1.02450000e-04 4.73890000e-04 1.20540000e-04],11.28692388534546,[0.00010615 0.00047248 0.00010012],[78.96484413  2.36518668 95.45563411],[34.07634102 35.25874011 36.22399006],3,110.80047082901,"[0.00013327 0.00057634 0.00070961 0.00010245 0.00047389 0.00012054
 0.00035626 0.00023572]",8,3,3
15,13,14.871904447037847,[1.06941000e-03],1.971400499343872,[0.00108631],[8.24627434],[145.04778954],1,4.001903772354126,[0.00106941],1,1,1
15,14,3.860380946113377,[3.10282000e-03 3.18080000e-04],8.885211944580078,[0.0029148  0.00085776],[10.56769234  1.99908042],[ 15.06747128 739.83348409],2,23.89101886749268,[0.00310282 0.00031808 0.0034209 ],3,2,2
15,15,6.803097331929877,[2.01560000e-04 1.44700000e-04],7.199448347091675,[0.00024878 0.00012996],[2221.91521712  128.23023681],[881.45351638  34.62989871],2,14.657057762145996,[0.0001447  0.00020156 0.00034626],3,2,2
15,17,1.6647840803221254,[1.21755000e-03],2.466205596923828,[0.00106001],[11.30846693],[1.16913893],1,10.48479986190796,[0.00121755],1,1,1
15,18,13.473296326329985,[1.19062000e-03],3.005396842956543,[0.00119074],[55.99859558],[941.98863107],1,6.749507904052734,[0.00119062],1,1,1
15,19,13.71326268634877,[1.60940000e-04],3.155327081680298,[0.0001327],[35.51357386],[23.60102672],1,9.227322816848757,[0.00016094],1,1,1
15,20,-3.552116217154788,[3.49717000e-03],3.1384437084198,[0.00329173],[24.51895751],[5.52564249],1,6.224784851074219,[0.00349717],1,1,1
15,21,2.920585453456146,[1.40275000e-03 9.56750000e-04],6.065607309341431,[0.00116241 0.00109858],[6.56317471e+08 6.78256040e+06],[459.83238827 460.30721615],2,12.40924334526062,[0.00095675 0.0023595  0.00081252 0.00140275 0.00221527],5,2,2
15,22,3.7019367781072687,[3.16557000e-03 4.30006000e-03],4.743909358978272,[0.00306153 0.00309877],[ 10.16032705 641.1705629 ],[ 16.30769758 146.09280863],2,25.116618156433105,[0.00430006 0.00110702 0.00746563 0.00316557],4,2,2
15,23,5.587139403737137,[3.06490000e-04 6.07250000e-04],5.358644008636475,[0.00021659 0.00049952],[623.7333248  778.24670972],[145.55875067 214.26248866],2,26.62338662147522,[0.00030649 0.00060725 0.00091373],3,2,2
15,24,5.110970418602376,[2.40500000e-03 5.60788000e-03],2.822497844696045,[0.00034155 0.00428616],[20.27907442  5.40754099],[ 5.99801846 15.44573213],2,20.01161885261536,[0.00560788 0.002405   0.00320288],3,2,2
15,25,13.766475526042084,[3.40040000e-04 2.78704000e-03],6.530664682388306,[0.00011971 0.00266388],[9.73945819e+00 1.49289141e+28],[ 14.363127   156.98540305],2,9.855949878692629,[0.00278704 0.00034004 0.00498464],3,2,2
15,26,20.378972560722342,[2.13474000e-03 4.63870000e-04],4.595082521438599,[0.00230768 0.00060564],[25.51550114  3.44822348],[137.88935917 146.58574113],2,16.857785940170288,[0.00046387 0.00167087 0.00213474 0.01034988 0.01202075],5,2,2
15,27,4.378629451988071,[5.15870000e-04 3.41840000e-04 1.34690000e-04],11.292215585708618,[0.00052397 0.00034942 0.00010196],[301.53322958 177.90340796  36.20111545],[149.49167341  44.07041239  12.7456689 ],3,65.53925704956055,"[0.00279519 0.0002777  0.00023774 0.00013469 0.00037243 0.00014344
 0.00034184 0.00047609 0.00051587 0.00331063 0.00245336]",11,3,3
15,28,13.327545650626348,[4.79600000e-04 5.94500000e-04],4.9685821533203125,[0.0001378  0.00013953],[21.12297151 15.25256902],[10.55262027 10.44634554],2,38.5478789806366,[0.0004796  0.00143222 0.00191181 0.0010741  0.0005945  0.00083771],6,2,2
15,29,9.01576441053736,[1.78030000e-04],2.4763989448547363,[0.00014454],[53.82496594],[42.84039438],1,3.423683881759644,[0.00017803],1,1,1
15,30,-3.123181033201328,[1.48199000e-03 6.27428000e-03 2.77990000e-04],9.26561689376831,[0.00256296 0.0038121  0.00232737],[5.99916429e+08 6.59215912e+16 1.11544295e+00],[ 177.61203316  177.94509472 3252.03372086],3,51.49438786506653,[0.00148199 0.00022095 0.00627428 0.00014184 0.00027799],5,3,3
15,31,24.980242712133396,[1.79440000e-04 3.69720000e-04],4.883423089981079,[0.00015641 0.00030007],[38.94258348 98.06579801],[ 84.88263926 220.52347379],2,43.387035608291626,[0.00017944 0.00036972 0.00399931],3,2,2
15,32,10.891331695592172,[2.10200000e-04 1.96420000e-04],8.485793590545654,[0.0002665  0.00014323],[225.7148103   33.96743463],[148.52340661  54.02531717],2,28.0131413936615,[0.0002102  0.00040662 0.00019642],3,2,2
16,1,11.615767738445118,[2.28780000e-04],4.219552040100098,[0.00018968],[60.8415831],[32.15877931],1,5.616010904312134,[0.00022878],1,1,1
16,2,6.645882436262952,[2.23430000e-04 4.51050000e-04],7.30452823638916,[0.00017598 0.00015928],[64.03975712 18.41313363],[39.88818549 15.76773492],2,14.303841352462769,[0.00022343 0.00045105],2,2,2
